n_estimators,max_depth,learning_rate,rmse
240,4,0.1974129860872307,5.07718332513
280,3,0.15565585425054268,4.93826947773
60,3,0.18166011104388763,4.81364600526
120,2,0.17499776808770062,5.0782245296
100,3,0.1930502412458137,4.89611031596
220,4,0.12551807726099465,5.31828639571
260,3,0.13763336935581016,5.13189814416
200,3,0.16988186889688367,5.05087043321
160,3,0.10133823845368403,5.15607700191
240,2,0.05569815973859682,5.08820342509
140,3,0.13312089342408548,5.03367528211
220,4,0.12214153292748647,5.1579123165
180,3,0.15137680339034593,5.02434651903
80,3,0.07684543322173479,5.21413956109
280,3,0.08846624353782258,5.27228196401
220,2,0.1667833184652204,5.09440737868
240,3,0.1868445949502272,4.75860366626
60,3,0.1908721978507626,4.67019860988
60,4,0.15830508857197256,5.18039316059
60,3,0.17893672343551079,4.8124925952
60,3,0.16287846517616306,5.02923681744
60,3,0.19094096758895318,4.64041857397
60,2,0.1730704085755466,5.02708576903
60,3,0.19085791001498592,4.66332194157
60,3,0.1409411139273466,5.13353072624
60,4,0.11713528294588385,5.11490387594
60,3,0.1471414767610501,4.90824695628
60,3,0.18491582398784862,4.82741960295
60,2,0.10718283258564988,5.26373436538
120,3,0.18223450509847,4.82472028136
100,3,0.19977488454810205,4.74816836011
260,4,0.12966449469758995,5.12180990092
200,3,0.1542565328475583,4.99034690529
240,3,0.18919841722868758,4.73499706735
160,3,0.1930438216012084,4.84294613545
140,2,0.17463543285823224,4.93602243948
60,3,0.1657007454910558,4.89467570482
180,4,0.17919909438630782,5.27969786168
80,3,0.19698526074723172,4.83391774295
280,3,0.17032217663295504,4.96514797052
240,3,0.16050062194759937,4.92049764584
60,2,0.18421687316364105,5.22637615806
120,3,0.14986584458192403,4.99741183998
100,4,0.19984007515156305,5.22676432801
260,3,0.13528873484945952,5.24589035709
200,3,0.1767854207434811,4.9587954771
240,3,0.19548647503487443,4.72384277162
160,2,0.18661770226949123,5.17962500394
60,3,0.17202171830474605,4.83176624428
140,3,0.09770296546556503,5.12614169681
180,4,0.14632910105480434,5.03016954801
80,3,0.07122340284902619,5.15296681425
60,3,0.19205494589977448,4.77740161316
280,2,0.1677875158890081,5.24499993912
240,3,0.15633843911892537,4.93055088386
120,3,0.06251715236982416,4.94339057987
60,3,0.18862577920729554,4.80024444698
60,3,0.18064309689757124,4.71133194145
60,3,0.19109192458361532,4.57599914224
60,3,0.19910715478241353,4.80410236611
60,3,0.18318539979842904,4.78320256041
60,3,0.19589475044952567,4.63986405399
60,3,0.1967602133368067,4.75962388821
100,3,0.16316256311666494,5.00915054649
60,3,0.17619946218513696,4.89771227058
200,3,0.19489891905866963,4.84942253269
260,3,0.18706970348120588,4.87351248544
240,3,0.19954946250325922,4.86188905834
60,3,0.1929967740352642,4.75037455282
140,3,0.17985079130535844,4.70545011469
