n_estimators,max_depth,learning_rate,rmse
200,3,0.12323350874097096,9.01716212555
200,3,0.13179242587032178,8.87042581679
200,3,0.15638745037924945,9.1130379753
200,3,0.1395984693475655,8.65874028059
200,3,0.14993296273913426,8.85048588159
140,3,0.14423033273506683,8.75642207004
120,3,0.16215288333076067,8.99583828735
280,3,0.15415337913881486,8.8561621233
200,3,0.141682963627275,8.81278033686
260,3,0.13805235350278303,8.63292424806
180,3,0.12426286143968598,8.92022100041
140,3,0.11878900954691991,8.9379602612
160,3,0.13397871504170794,8.73469234298
100,3,0.10805369561600364,8.99514438368
80,3,0.1698311334819446,8.6830592184
220,3,0.14679472451653017,8.55076995566
140,3,0.12874606206359593,8.85471816023
240,4,0.15189362174317908,9.39516141828
60,3,0.09592371205839403,9.26858052602
200,2,0.08244952165759532,9.02992424445
140,3,0.10287238063502488,8.61737854604
100,3,0.1580572479038756,8.93890187622
280,3,0.11416678136146008,9.18089970303
120,3,0.07882132285243496,8.92826730528
260,4,0.08941173386772791,8.92243782621
180,2,0.12274918147696584,8.68484103999
140,3,0.1049423714416167,8.84080311114
160,3,0.16556648260314663,8.69925058746
100,3,0.1319193498537364,8.77851030467
80,3,0.16039867979987044,9.22748379154
200,4,0.05635767923200377,9.04173702368
240,3,0.12636991185755098,8.59881540247
140,2,0.09853479650349176,9.08272308757
60,3,0.12064318595189649,9.21043909531
220,3,0.14028922196143498,8.92644734836
100,3,0.06021298809369944,8.65936472166
140,3,0.14295195966890112,8.93001347804
280,4,0.11642985116871214,8.98392962675
120,3,0.13747545659610988,8.71610283121
200,2,0.06474936727011533,9.14253424578
260,3,0.07367854286532181,8.66274491294
180,3,0.08592594688295903,9.05128327929
140,3,0.1104887980387257,8.8508611628
160,3,0.14987012677591827,8.84443595796
100,4,0.17677429973636807,8.97634257829
200,3,0.13468929050704803,8.6698824235
80,2,0.18134920223418932,9.06183505264
140,3,0.10711833086169698,8.73160788362
220,3,0.09299058965011364,8.8978756643
240,3,0.14641630250292365,8.47169688787
240,3,0.07033078236325309,8.88106677609
240,3,0.1714012114564631,8.82866808456
240,4,0.050335236341058937,8.97906582343
240,2,0.14568782380033937,8.76446523185
240,3,0.16541465479223225,8.69505793905
240,3,0.1921446551303767,8.66806746395
240,3,0.18531684346628002,9.05122759567
240,3,0.12801142783297184,8.68854339855
100,3,0.14768350538326797,8.79527398715
60,4,0.10012698504574113,8.63356436855
140,3,0.15227879342767495,9.02161267809
280,2,0.15594200769400296,9.13348108603
120,3,0.13039988095497765,8.85942466757
260,3,0.16092322396353456,9.1337746694
140,3,0.08230234041683923,8.81014533301
240,3,0.09612721199248664,9.12332505332
100,4,0.17505047082819156,9.12027309039
180,3,0.06656201233560416,8.81351957774
160,2,0.11160909588547938,9.12437516702
80,3,0.07772947055997241,9.16045474167
140,3,0.11959501816465565,8.91809481264
220,3,0.0880998175869224,8.73012161382
100,3,0.1151885730256855,9.20500686182
60,4,0.138656063134249,8.71916394377
140,3,0.10327875584413519,8.43631641434
140,2,0.12540035324221507,8.94267014897
140,3,0.14376452561129682,8.57567338359
140,3,0.167802278315962,8.9736188559
140,3,0.10374284402520884,8.57317929534
140,3,0.13253097484398832,8.70039176901
140,3,0.12359849091352794,9.07802268051
140,4,0.15732121417256137,8.69933214532
140,2,0.16365543780869246,9.30932668787
240,3,0.14238635678716616,8.62916695729
140,3,0.17935042045814714,8.65232497717
280,3,0.14853256461904396,8.90494104847
120,3,0.1079706729234696,9.00354850002
260,3,0.13613791278775064,8.56179880195
180,4,0.1542319271711359,9.08603485188
